ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code
2751102,HJ391644,05/25/2003 06:00:00 PM,026XX N ELSTON AVE,0890,THEFT,FROM BUILDING,SMALL RETAIL STORE,false,false,1432,014,1,22,06
2751116,HJ391486,05/27/2003 10:00:00 PM,032XX S DR MARTIN LUTHER KING JR DR,0820,THEFT,$500 AND UNDER,STREET,false,false,2112,002,2,35,06
2751250,HJ354591,05/10/2003 02:25:00 PM,003XX W 95TH ST,2095,NARCOTICS,ATTEMPT POSSESSION NARCOTICS,CHA PARKING LOT/GROUNDS,true,false,0634,006,21,49,18
2751325,HJ365833,05/15/2003 07:10:00 PM,002XX W 95TH ST,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),CHA PARKING LOT/GROUNDS,true,false,0634,006,21,49,18
2642401,HJ250690,03/20/2003 08:15:00 PM,015XX W WASHBURNE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1231,012,2,28,07
2642464,HJ252898,03/21/2003 08:00:00 AM,008XX W DAKIN ST,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,2324,019,46,6,05
2752122,HJ390344,05/27/2003 04:20:21 PM,012XX S MICHIGAN AVE,4230,KIDNAPPING,UNLAWFUL RESTRAINT,STREET,true,false,0132,001,2,33,26
2752170,HJ389939,05/27/2003 12:00:00 PM,070XX S HARPER AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,0332,003,5,43,14
2752172,HJ392415,05/27/2003 10:00:00 PM,051XX S CARPENTER ST,0820,THEFT,$500 AND UNDER,STREET,false,false,0934,009,16,61,06
2752331,HJ393379,05/28/2003 10:30:00 PM,058XX W ERIE ST,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,false,1511,015,29,25,26
2752423,HJ391847,05/28/2003 11:07:00 AM,031XX W WASHINGTON BLVD,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1331,012,27,27,14
2752592,HJ390432,05/27/2003 02:30:00 PM,018XX S KEELER AVE,0460,BATTERY,SIMPLE,"SCHOOL, PUBLIC, BUILDING",false,false,1012,010,24,29,08B
2752617,HJ392481,05/28/2003 04:09:14 PM,047XX N SPAULDING AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,ALLEY,false,false,1713,017,33,14,14
2752742,HJ393088,05/27/2003 11:30:00 PM,029XX N MASON AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,2514,025,30,19,07
2752977,HJ393015,04/15/2003 12:00:00 PM,052XX W ALTGELD ST,0841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,RESIDENCE,false,false,2515,025,31,19,06
2752987,HJ392162,05/28/2003 02:00:00 PM,055XX S PEORIA ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE PORCH/HALLWAY,false,false,0712,007,20,68,08B
2753043,HJ385050,05/24/2003 08:15:00 PM,056XX W 63RD PL,0560,ASSAULT,SIMPLE,STREET,false,true,0812,008,13,64,08A
2753169,HJ393806,05/28/2003 03:00:00 PM,029XX N ROCKWELL ST,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,false,false,1411,014,1,21,05
2753248,HJ391573,05/27/2003 04:50:00 PM,005XX W MADISON ST,0890,THEFT,FROM BUILDING,COMMERCIAL / BUSINESS OFFICE,false,false,0111,001,42,28,06
2753329,HJ391171,05/27/2003 10:00:00 PM,063XX S HONORE ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,0726,007,15,67,14
2753364,HJ394010,05/14/2003 10:00:00 AM,061XX S ROCKWELL ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,false,0825,008,15,66,26
2753446,HJ392264,05/28/2003 10:00:00 AM,006XX E GRAND AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,OTHER,false,false,1834,018,42,8,14
2753757,HJ374652,05/20/2003 03:55:00 AM,040XX W LEXINGTON ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,1132,011,24,26,08B
2753852,HJ375506,05/20/2003 01:20:00 PM,117XX S UNION AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,0524,005,34,53,18
2753883,HJ384998,05/24/2003 09:00:00 PM,068XX S JUSTINE ST,2027,NARCOTICS,POSS: CRACK,SIDEWALK,true,false,0725,007,17,67,18
2753919,HJ377637,05/21/2003 01:53:51 PM,037XX W ARMITAGE AVE,1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,SIDEWALK,true,false,2535,025,26,22,16
2754005,HJ388091,05/26/2003 04:00:07 PM,061XX S RHODES AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0313,003,20,42,08B
2754160,HJ395327,05/29/2003 07:45:00 PM,017XX W 14TH PL,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1224,012,2,28,07
2754275,HJ395850,05/29/2003 10:00:00 PM,045XX N KENTON AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1722,017,45,16,06
2754514,HJ394855,05/29/2003 02:40:00 PM,010XX W FOSTER AVE,0460,BATTERY,SIMPLE,STREET,false,false,2023,020,48,77,08B
2754897,HJ350733,05/08/2003 07:55:00 PM,050XX S ASHLAND AVE,1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,true,false,0931,009,16,61,16
2755123,HJ395824,05/30/2003 04:50:00 AM,078XX S KINGSTON AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,0421,004,7,43,14
2755225,HJ357209,05/11/2003 09:45:00 PM,026XX W 63RD ST,2027,NARCOTICS,POSS: CRACK,ALLEY,true,false,0825,008,15,66,18
2755254,HJ394394,05/29/2003 01:25:00 PM,056XX S WOLCOTT AVE,0484,BATTERY,PRO EMP HANDS NO/MIN INJURY,"SCHOOL, PUBLIC, BUILDING",false,false,0715,007,15,67,08B
2755422,HJ356461,05/11/2003 01:25:00 PM,062XX S CALUMET AVE,2027,NARCOTICS,POSS: CRACK,CHA PARKING LOT/GROUNDS,true,false,0311,003,20,40,18
2755481,HJ396138,05/26/2003 12:00:00 PM,081XX S CHAPPEL AVE,0890,THEFT,FROM BUILDING,RESIDENCE,true,false,0414,004,8,46,06
2755765,HJ397161,05/30/2003 04:00:00 PM,050XX W MONROE ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,false,1533,015,28,25,26
2755886,HJ398064,05/31/2003 12:00:00 AM,104XX S AVENUE L,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,false,false,0432,004,10,52,05
2756087,HJ386504,05/25/2003 04:05:00 PM,001XX N STATE ST,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,false,false,0122,001,42,32,06
2756093,HJ395228,05/29/2003 07:30:00 PM,017XX W HOWARD ST,0860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,true,false,2422,024,49,1,06
2756329,HJ397802,05/20/2003 11:30:00 PM,058XX W BELMONT AVE,031A,ROBBERY,ARMED: HANDGUN,ALLEY,true,false,1633,016,38,15,03
2756405,HJ396322,05/30/2003 12:00:00 PM,074XX S BENNETT AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,RESIDENCE PORCH/HALLWAY,true,false,0333,003,8,43,04A
2756498,HJ396498,05/30/2003 12:35:00 PM,013XX W 14TH ST,0460,BATTERY,SIMPLE,"SCHOOL, PUBLIC, BUILDING",false,false,1231,012,2,28,08B
2756509,HJ396949,05/30/2003 05:00:18 PM,090XX S EXCHANGE AVE,0460,BATTERY,SIMPLE,SIDEWALK,false,false,0423,004,10,46,08B
2756566,HJ395510,05/29/2003 10:50:00 PM,014XX W MADISON ST,2850,PUBLIC PEACE VIOLATION,BOMB THREAT,GOVERNMENT BUILDING/PROPERTY,false,false,1211,012,2,28,26
2757363,HJ398271,05/30/2003 06:00:00 PM,035XX W MC LEAN AVE,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,false,false,1413,014,26,22,05
2757444,HJ398174,05/31/2003 07:15:00 AM,092XX S ADA ST,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,true,true,2222,022,21,73,26
2757508,HJ397672,05/30/2003 10:42:24 PM,020XX W JARVIS AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,true,false,2424,024,49,1,08B
2757631,HJ398683,05/31/2003 01:10:00 PM,077XX S PHILLIPS AVE,0460,BATTERY,SIMPLE,STREET,false,true,0421,004,7,43,08B
2758045,HJ400427,05/31/2003 08:00:00 PM,017XX N FERN CT,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1813,018,43,7,14
2758302,HJ401185,05/31/2003 04:00:00 PM,025XX W NORTH AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,DRIVEWAY - RESIDENTIAL,false,false,1423,014,26,24,14
2834399,HJ497355,07/14/2003 10:00:00 PM,126XX S STEWART AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0523,005,9,53,14
2758670,HJ387103,05/25/2003 09:30:00 PM,013XX S MILLARD AVE,0460,BATTERY,SIMPLE,PARK PROPERTY,false,false,1011,010,24,29,08B
2758918,HJ400647,05/31/2003 08:00:00 PM,033XX S MICHIGAN AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,2112,002,3,35,06
2759418,HJ397244,05/30/2003 07:06:32 PM,040XX S FEDERAL ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,CHA APARTMENT,false,false,0214,002,3,38,08B
2759472,HJ401086,06/01/2003 10:00:00 AM,078XX S LOOMIS BLVD,0560,ASSAULT,SIMPLE,SIDEWALK,false,false,0612,006,17,71,08A
2759511,HJ367250,05/16/2003 02:30:00 PM,049XX S CALUMET AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),PARK PROPERTY,true,false,0224,002,3,38,18
2759596,HJ401672,06/01/2003 11:25:00 PM,081XX S HALSTED ST,143B,WEAPONS VIOLATION,UNLAWFUL POSS OTHER FIREARM,CHA PARKING LOT/GROUNDS,true,false,0622,006,21,71,15
2759645,HJ369373,05/17/2003 01:20:00 PM,071XX S ASHLAND AVE,2017,NARCOTICS,MANU/DELIVER:CRACK,STREET,true,false,0735,007,17,67,18
2759717,HJ371467,05/18/2003 01:10:00 PM,077XX S GREENWOOD AVE,2094,NARCOTICS,ATTEMPT POSSESSION CANNABIS,STREET,true,false,0624,006,8,69,18
2759831,HJ368363,05/16/2003 09:55:00 PM,028XX W MADISON ST,1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,true,false,1331,012,2,27,16
2759840,HJ368368,05/16/2003 11:15:00 PM,026XX W MADISON ST,1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,true,false,1331,012,2,28,16
2759905,HJ367779,05/16/2003 06:01:33 PM,050XX N WINTHROP AVE,2027,NARCOTICS,POSS: CRACK,ALLEY,true,false,2033,020,48,3,18
2760346,HJ402667,06/02/2003 09:30:00 AM,038XX W 56TH PL,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,0822,008,13,62,05
2760669,HJ401661,06/01/2003 10:30:00 PM,075XX W ISHAM AVE,0460,BATTERY,SIMPLE,RESIDENCE,true,true,1612,016,41,9,08B
2760765,HJ402330,06/02/2003 11:13:53 AM,046XX S ELLIS AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,true,true,2123,002,4,39,08B
2760781,HJ402180,06/01/2003 10:00:00 AM,085XX W GREGORY ST,0890,THEFT,FROM BUILDING,RESIDENCE,false,false,1614,016,41,76,06
2760856,HJ403156,06/02/2003 05:24:57 PM,075XX N WESTERN AVE,0890,THEFT,FROM BUILDING,SMALL RETAIL STORE,false,false,2411,024,50,2,06
2760906,HJ403140,06/02/2003 05:30:00 AM,114XX S BISHOP ST,0890,THEFT,FROM BUILDING,RESIDENCE,false,true,2234,022,34,75,06
2760981,HJ403548,06/02/2003 08:22:00 PM,029XX W 47TH ST,0530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,STREET,true,false,0912,009,14,58,04A
2761181,HJ383356,05/24/2003 01:05:00 AM,024XX W CONGRESS PKWY,0880,THEFT,PURSE-SNATCHING,CTA TRAIN,false,false,1135,011,2,28,06
2761312,HJ402595,06/02/2003 01:05:00 PM,081XX S EBERHART AVE,0880,THEFT,PURSE-SNATCHING,ALLEY,false,false,0631,006,6,44,06
2761393,HJ377752,05/21/2003 01:55:00 PM,057XX S MARSHFIELD AVE,2027,NARCOTICS,POSS: CRACK,STREET,true,false,0715,007,15,67,18
2761466,HJ361410,05/13/2003 07:25:00 PM,032XX W CERMAK RD,1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,true,false,1022,010,24,30,16
2761634,HJ373444,05/19/2003 03:18:07 PM,007XX N PULASKI RD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,"SCHOOL, PUBLIC, BUILDING",false,true,1111,011,28,23,08B
2761764,HJ361915,05/13/2003 11:20:00 PM,057XX S ASHLAND AVE,1513,PROSTITUTION,SOLICIT FOR BUSINESS,STREET,true,false,0715,007,15,67,16
2761969,HJ397964,05/31/2003 02:00:00 AM,042XX W WILCOX ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,1115,011,28,26,14
2762210,HJ391455,05/28/2003 06:45:00 AM,008XX N HAMLIN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,DAY CARE CENTER,false,true,1112,011,27,23,08B
2762497,HJ402979,06/01/2003 05:30:00 PM,022XX S UNION AVE,0460,BATTERY,SIMPLE,OTHER,false,false,1233,012,25,31,08B
2762573,HJ404883,06/03/2003 01:00:00 PM,019XX S HOMAN AVE,0312,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,OTHER,false,false,1024,010,24,29,03
2762650,HJ404457,06/03/2003 10:10:01 AM,109XX S RACINE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,2234,022,34,75,08B
2762971,HJ380485,05/22/2003 05:55:00 PM,064XX S PAULINA ST,2027,NARCOTICS,POSS: CRACK,SIDEWALK,true,false,0725,007,15,67,18
2763023,HJ405296,06/03/2003 04:15:00 PM,068XX S GREEN ST,0460,BATTERY,SIMPLE,RESIDENCE,false,false,0723,007,17,68,08B
2763119,HJ404834,06/03/2003 12:50:49 PM,086XX S DR MARTIN LUTHER KING JR DR,0630,BURGLARY,ATTEMPT FORCIBLE ENTRY,RESIDENCE-GARAGE,false,false,0632,006,6,44,05
2763204,HJ400712,06/01/2003 02:35:00 PM,039XX W WASHINGTON BLVD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,GAS STATION,false,true,1122,011,28,26,08B
2763247,HJ406257,06/04/2003 03:43:02 AM,035XX W 12TH PL,0820,THEFT,$500 AND UNDER,ALLEY,false,false,1021,010,24,29,06
2763285,HJ395620,05/29/2003 11:30:00 PM,024XX W MARQUETTE RD,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,0832,008,15,66,14
2763437,HJ403496,06/02/2003 07:31:10 PM,050XX N WINTHROP AVE,1330,CRIMINAL TRESPASS,TO LAND,RESIDENCE PORCH/HALLWAY,true,false,2033,020,48,3,26
2763529,HJ398660,05/31/2003 12:57:59 PM,0000X E OHIO ST,1330,CRIMINAL TRESPASS,TO LAND,STREET,true,false,1834,018,42,8,26
2763568,HJ405944,06/03/2003 08:00:00 PM,099XX S PEORIA ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,2232,022,34,73,14
2763737,HJ405290,06/03/2003 02:00:00 PM,075XX S EGGLESTON AVE,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,0621,006,17,69,05
2763769,HJ385137,05/24/2003 10:30:00 PM,073XX S DORCHESTER AVE,2027,NARCOTICS,POSS: CRACK,STREET,true,false,0324,003,5,43,18
2763908,HJ406900,06/04/2003 11:00:00 AM,064XX S DAMEN AVE,0890,THEFT,FROM BUILDING,RESIDENCE,false,false,0726,007,15,67,06
2764023,HJ380141,05/22/2003 04:00:00 PM,0000X W 35TH ST,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,true,false,2113,002,3,35,18
2764133,HJ382744,05/23/2003 06:45:00 PM,003XX S KOLMAR AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,true,false,1131,011,24,26,18
2764320,HJ381113,05/22/2003 10:42:00 PM,035XX W ARMITAGE AVE,1513,PROSTITUTION,SOLICIT FOR BUSINESS,STREET,true,false,1413,014,26,22,16
2764394,HJ407471,06/04/2003 01:27:00 PM,015XX N LAWLER AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,false,2533,025,37,25,26
2764999,HJ070148,04/23/2003 09:00:00 AM,083XX S LANGLEY AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,false,0632,006,6,44,26
2765053,HJ070035,05/28/2003 04:30:00 PM,047XX N SPAULDING AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,false,false,1713,017,33,14,05
2765080,HJ396960,05/30/2003 04:55:00 PM,053XX S PRAIRIE AVE,1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,true,false,0232,002,3,40,16
2765211,HJ406968,06/04/2003 12:40:00 PM,004XX W 103RD ST,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE PORCH/HALLWAY,false,false,2232,022,34,49,26
2765256,HJ408007,06/03/2003 06:30:00 PM,007XX W 74TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,true,true,0732,007,17,68,08B
2765334,HJ405017,06/03/2003 02:13:32 PM,018XX W MONTEREY AVE,0820,THEFT,$500 AND UNDER,POLICE FACILITY/VEH PARKING LOT,false,false,2212,022,19,75,06
2765363,HJ406773,06/04/2003 10:59:44 AM,035XX W DOUGLAS BLVD,1310,CRIMINAL DAMAGE,TO PROPERTY,"SCHOOL, PUBLIC, BUILDING",true,false,1021,010,24,29,14
2765629,HJ406506,06/03/2003 08:00:00 PM,0000X N LECLAIRE AVE,0890,THEFT,FROM BUILDING,CONSTRUCTION SITE,false,false,1533,015,28,25,06
2765839,HJ403061,06/02/2003 04:34:00 PM,076XX N MARSHFIELD AVE,2017,NARCOTICS,MANU/DELIVER:CRACK,SIDEWALK,true,false,2422,024,49,1,18
2766320,HJ400533,06/01/2003 11:41:00 AM,074XX S COLFAX AVE,0460,BATTERY,SIMPLE,STREET,true,false,0334,003,7,43,08B
2766354,HJ385533,05/25/2003 03:15:00 AM,015XX N KEELER AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,STREET,false,false,2534,025,30,23,14
2766542,HJ410012,06/05/2003 08:00:00 PM,065XX S DR MARTIN LUTHER KING JR DR,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,false,0312,003,20,69,26
2766572,HJ405882,06/03/2003 08:55:00 PM,011XX W WILSON AVE,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,true,false,2311,019,46,3,11
2766635,HJ409830,06/05/2003 08:43:16 PM,057XX S INDIANA AVE,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,0233,002,20,40,05
2766639,HJ408191,06/03/2003 01:00:00 PM,100XX W OHARE ST,0820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),false,false,1651,016,41,76,06
2766775,HJ407465,06/04/2003 11:30:00 AM,035XX W LAKE ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1123,011,28,27,07
2767441,HJ409774,06/05/2003 08:30:00 PM,066XX S ASHLAND AVE,0560,ASSAULT,SIMPLE,STREET,true,true,0725,007,17,67,08A
2767474,HJ410649,05/23/2003 02:30:00 PM,006XX N RACINE AVE,0865,THEFT,DELIVERY CONTAINER THEFT,CONSTRUCTION SITE,false,false,1324,012,27,24,06
2767476,HJ410652,06/06/2003 08:30:00 AM,037XX S WOOD ST,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,false,false,0922,009,11,59,05
2767595,HJ358169,05/12/2003 12:20:00 PM,054XX S PRINCETON AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,VACANT LOT/LAND,true,false,0934,009,3,37,18
2767689,HJ360649,05/13/2003 01:40:00 PM,059XX S PEORIA ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,true,false,0712,007,16,68,18
2767803,HJ350055,05/08/2003 03:00:00 PM,112XX S WALLACE ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,"SCHOOL, PUBLIC, BUILDING",true,false,2233,022,34,49,18
2767807,HJ410934,06/06/2003 12:00:00 PM,011XX W 18TH ST,0820,THEFT,$500 AND UNDER,SIDEWALK,false,false,1233,012,25,31,06
2767811,HJ361420,05/13/2003 06:30:00 PM,005XX N KEDZIE AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,RESIDENCE PORCH/HALLWAY,true,false,1121,011,27,23,18
2767892,HJ393238,05/28/2003 09:40:00 PM,014XX S HOMAN AVE,2027,NARCOTICS,POSS: CRACK,SIDEWALK,true,false,1021,010,24,29,18
2767899,HJ389820,05/27/2003 01:00:00 PM,065XX S STEWART AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,"SCHOOL, PUBLIC, BUILDING",true,false,0722,007,20,68,18
2767908,HJ390836,05/27/2003 08:35:00 PM,022XX W GARFIELD BLVD,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,0915,009,16,63,18
2768027,HJ394462,05/29/2003 02:30:00 PM,063XX S VERNON AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,true,false,0312,003,20,42,18
2768225,HJ411806,06/06/2003 07:00:00 AM,002XX W MADISON ST,0810,THEFT,OVER $500,SIDEWALK,false,false,0113,001,42,32,06
2768354,HJ411889,06/06/2003 08:08:30 PM,059XX S STATE ST,0810,THEFT,OVER $500,OTHER,false,false,0233,002,20,40,06
2768518,HJ409782,06/05/2003 08:40:00 PM,065XX N NORTHWEST HWY,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,1611,016,41,9,08B
2768608,HJ408059,06/04/2003 08:00:00 PM,073XX S RACINE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),false,false,0734,007,17,67,14
2768613,HJ410897,06/05/2003 07:30:00 AM,012XX W WRIGHTWOOD AVE,0810,THEFT,OVER $500,RESIDENCE-GARAGE,false,false,1933,019,32,7,06
2768776,HJ411380,06/06/2003 08:00:00 AM,057XX S ROCKWELL ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0824,008,16,63,07
2768839,HJ412015,06/06/2003 08:50:43 PM,041XX W ROOSEVELT RD,1310,CRIMINAL DAMAGE,TO PROPERTY,GROCERY FOOD STORE,false,false,1011,010,24,29,14
2768844,HJ412851,06/06/2003 07:30:00 PM,079XX S PAXTON AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0414,004,8,46,07
2768997,HJ411736,06/06/2003 06:40:00 PM,014XX E 69TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0332,003,5,43,08B
2769074,HJ401951,05/31/2003 01:00:00 PM,048XX S PULASKI RD,1310,CRIMINAL DAMAGE,TO PROPERTY,BANK,false,false,0815,008,14,57,14
2769305,HJ413702,06/06/2003 09:00:00 PM,016XX S SAWYER AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1022,010,24,29,14
2769455,HJ414662,06/08/2003 03:00:00 AM,020XX W PIERCE AVE,0810,THEFT,OVER $500,STREET,false,false,1424,014,1,24,06
2769458,HJ414440,06/07/2003 11:15:00 PM,064XX N WASHTENAW AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,2412,024,50,2,14
2769481,HJ414811,06/06/2003 05:00:00 PM,023XX W THOMAS ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1312,012,1,24,06
2769628,HJ412957,06/07/2003 10:20:00 AM,078XX S PHILLIPS AVE,0890,THEFT,FROM BUILDING,APARTMENT,false,false,0421,004,7,43,06
2769662,HJ411043,06/06/2003 01:00:00 PM,015XX W FILLMORE ST,051B,ASSAULT,AGGRAVATED: OTHER FIREARM,"SCHOOL, PUBLIC, BUILDING",true,false,1231,012,2,28,04A
2770366,HJ414108,06/07/2003 08:55:00 PM,014XX N SEDGWICK ST,1330,CRIMINAL TRESPASS,TO LAND,OTHER,false,false,1821,018,27,8,26
2770701,HJ416606,06/09/2003 12:30:00 AM,014XX N CENTRAL AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,true,2532,025,37,25,26
2770739,HJ185978,02/15/2003 09:14:44 PM,025XX N MILWAUKEE AVE,0460,BATTERY,SIMPLE,SIDEWALK,false,false,1414,014,35,22,08B
2770858,HJ410179,06/06/2003 01:15:00 AM,035XX W LAWRENCE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,VEHICLE NON-COMMERCIAL,false,true,1712,017,39,14,08B
2770912,HJ416546,06/08/2003 10:57:09 PM,002XX W 111TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,false,true,0513,005,34,49,08B
2771090,HJ415427,06/07/2003 11:00:00 PM,107XX S AVENUE C,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0432,004,10,52,14
2771317,HJ417009,06/08/2003 12:00:00 PM,080XX S EVANS AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,false,false,0631,006,6,44,05
2771484,HJ416742,06/09/2003 03:30:00 AM,060XX S VERNON AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0313,003,20,42,08B
2771685,HJ416532,06/08/2003 06:00:00 AM,085XX S EUCLID AVE,0890,THEFT,FROM BUILDING,RESIDENCE,false,false,0412,004,8,45,06
2771769,HJ412196,06/06/2003 10:58:01 PM,020XX W 79TH ST,1330,CRIMINAL TRESPASS,TO LAND,TAVERN/LIQUOR STORE,true,false,0611,006,18,71,26
2771991,HJ411932,06/06/2003 08:15:00 PM,042XX W MADISON ST,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,false,false,1115,011,28,26,03
2772280,HJ416083,06/04/2003 04:00:00 PM,073XX S PAULINA ST,0460,BATTERY,SIMPLE,RESIDENCE,false,false,0735,007,17,67,08B
2772395,HJ418247,06/09/2003 10:00:00 AM,023XX E 70TH ST,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,false,0331,003,5,43,26
2772433,HJ418423,06/08/2003 12:05:00 AM,007XX E 51ST ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,false,false,0223,002,4,38,14
2772481,HJ418621,06/09/2003 05:00:00 PM,079XX S EXCHANGE AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,0422,004,7,46,06
2772718,HJ405044,06/03/2003 12:30:00 PM,014XX W ALTGELD ST,1320,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE-COMMERCIAL,false,false,1931,019,32,7,14
2772845,HJ418345,06/09/2003 05:30:00 PM,036XX S MAPLEWOOD AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,true,false,0913,009,12,58,05
